"Technologies","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"



"Technologies","Portfolio"
"TypeScript, Angular, Frontend","https://my-portfolio.com/typescript-frontend"
"Python, TensorFlow, Machine Learning","https://my-portfolio.com/ml-python"
"Swift, iOS, Core Data","https://my-portfolio.com/ios"
"MongoDB, Node.js, React","https://my-portfolio.com/react"
"Android NDK, Kotlin, Android TV","https://my-portfolio.com/android-tv"
"Xamarin, Azure, Cross-platform","https://my-portfolio.com/xamarin"
"Oracle, Java, Spring Boot","https://my-portfolio.com/java"
"Spring Boot, Kotlin, Backend","https://my-portfolio.com/kotlin-backend"
"MySQL, WordPress, PHP","https://my-portfolio.com/wordpress"
"Firebase, Flutter, GraphQL","https://my-portfolio.com/flutter"
"PostgreSQL, Ruby on Rails, Vue.js","https://my-portfolio.com/vue"
"Node.js, MongoDB, React Native","https://my-portfolio.com/react-native"
"Room Persistence, Java, Android","https://my-portfolio.com/android"
"MySQL, Magento, PHP","https://my-portfolio.com/magento"
"Swift, iOS, ARKit","https://my-portfolio.com/ios-ar"
"Express.js, JavaScript, Full-stack","https://my-portfolio.com/full-stack-js"
"Firebase, Kotlin, Android","https://my-portfolio.com/kotlin-android"
"SQL Server, .NET, Angular","https://my-portfolio.com/angular"
"Docker, Jenkins, DevOps","https://my-portfolio.com/devops"
"MySQL, Django, Python","https://my-portfolio.com/python"
